Date,Price,Open,High,Low,Vol,Change%
08-10-2010,131.6600037,130.7799988,131.8800049,130.4700012,18693300,0.99
11-10-2010,132.2899933,131.2799988,132.3300018,130.9799957,10621300,0.48
12-10-2010,131.9600067,132.0599976,132.2100067,131.3600006,13289200,-0.25
13-10-2010,134.0700073,132.7299957,134.3099976,132.6300049,18398500,1.6
14-10-2010,134.75,134.0599976,134.8500061,133.8999939,26890500,0.51
15-10-2010,133.6799927,134.2400055,134.4600067,133.0700073,26168600,-0.79
18-10-2010,134.2799988,133.4600067,134.3399963,133.1600037,12289500,0.45
19-10-2010,130.1100006,130.4600067,131.5899963,129.75,25327200,-3.11
20-10-2010,131.3200073,130.3600006,131.6499939,130.3200073,12556600,0.93
21-10-2010,129.4700012,131.0800018,131.5899963,128.7200012,21804200,-1.41
22-10-2010,129.7299957,129.4700012,129.75,128.9700012,11885300,0.2
25-10-2010,130.8500061,131.1600037,131.3800049,130.2100067,12154900,0.86
26-10-2010,130.8800049,129.9900055,131.1399994,129.7299957,10710900,0.02
27-10-2010,129.5200043,129.9299927,130,128.7899933,16132100,-1.04
28-10-2010,131.2400055,130.3600006,131.5,129.8399963,15889600,1.33
29-10-2010,132.6199951,131.4799957,132.8200073,131.0599976,14334900,1.05
01-11-2010,131.9199982,132.8500061,133.0700073,131.7599945,12403600,-0.53
02-11-2010,132.4900055,132.4400024,132.5899963,131.8800049,9396900,0.43
03-11-2010,131.5700073,132.2799988,132.5200043,129.4799957,31702100,-0.69
04-11-2010,136.0299988,134.6399994,136.1300049,134.2400055,23464700,3.39
05-11-2010,136.3800049,135.1399994,136.6100006,134.9499969,20342500,0.26
08-11-2010,137.7799988,135.9199982,137.7899933,135.5299988,17367400,1.03
09-11-2010,135.5899963,138.6999969,139.1499939,135.0500031,39445200,-1.59
10-11-2010,137.2400055,137.0299988,137.2799988,135.1499939,28484700,1.22
11-11-2010,137.6600037,137.6199951,137.75,136.4499969,15447500,0.31
12-11-2010,133.6900024,135.8899994,136.3099976,132.8200073,35885900,-2.88
15-11-2010,132.4199982,133.8600006,134.4900055,132.3899994,15096800,-0.95
16-11-2010,130.9700012,132.2400055,132.3800049,129.8300018,32478100,-1.09
17-11-2010,130.3800049,130.7700043,131.3699951,130.1300049,16432100,-0.45
18-11-2010,132.0899963,131.8200073,132.7799988,131.5500031,16009400,1.31
